124420,5,1,1,1,No começo Deus criou os céus e a terra.
124421,5,1,1,2,"A terra era um vazio, sem nenhum ser vivente, e estava coberta por um mar profundo. A escuridão cobria o mar, e o Espírito de Deus se movia por cima da água."
124422,5,1,1,3,"Então Deus disse:
124423,5,1,1,4,Deus viu que a luz era boa e a separou da escuridão.
124424,5,1,1,5,"Deus pôs na luz o nome de ´dia` e na escuridão pôs o nome de ´noite`. A noite passou, e veio a manhã. Esse foi o primeiro dia."
124425,5,1,1,6,"Então Deus disse:
124426,5,1,1,7,"E assim aconteceu. Deus fez uma divisão que separou a água em duas partes: uma parte ficou do lado de baixo da divisão, e a outra parte ficou do lado de cima."
124427,5,1,1,8,"Nessa divisão Deus pôs o nome de ´céu`. A noite passou, e veio a manhã. Esse foi o segundo dia."
124428,5,1,1,9,"Aí Deus disse:
124429,5,1,1,10,Deus pôs na parte seca o nome de ´terra` e nas águas que se haviam ajuntado ele pôs o nome de ´mares`. E Deus viu que o que havia feito era bom.
124430,5,1,1,11,"Em seguida ele disse:
124431,5,1,1,12,A terra produziu todo tipo de vegetais: plantas que dão sementes e árvores que dão frutas. E Deus viu que o que havia feito era bom.
124432,5,1,1,13,"A noite passou, e veio a manhã. Esse foi o terceiro dia."
124433,5,1,1,14,"Então Deus disse:
124434,5,1,1,15,"Essas luzes brilharão no céu para iluminar a terra.
124435,5,1,1,16,Deus fez as duas grandes luzes: a maior para governar o dia e a menor para governar a noite. E fez também as estrelas.
124436,5,1,1,17,"Deus pôs essas luzes no céu para iluminarem a terra,"
124437,5,1,1,18,para governarem o dia e a noite e para separarem a luz da escuridão. E Deus viu que o que havia feito era bom.
124438,5,1,1,19,"A noite passou, e veio a manhã. Esse foi o quarto dia."
124439,5,1,1,20,"Depois Deus disse:
124440,5,1,1,21,"Assim Deus criou os grandes monstros do mar, e todas as espécies de seres vivos que em grande quantidade se movem nas águas, e criou também todas as espécies de aves. E Deus viu que o que havia feito era bom."
124441,5,1,1,22,"Ele abençoou os seres vivos do mar e disse:
124442,5,1,1,23,"A noite passou, e veio a manhã. Esse foi o quinto dia."
124443,5,1,1,24,"Então Deus disse:
124444,5,1,1,25,"Deus fez os animais, cada um de acordo com a sua espécie: os animais domésticos, os selvagens e os que se arrastam pelo chão. E Deus viu que o que havia feito era bom."
